,CORD,#,MFG,,,MFG. DATE,PROD,ACTUAL,PROD,END,Backup,Preload,END,FINAL,DATE,,
,SERIAL #,WRAPS,BY,LOT#,BOX#,,LENGTH,LENGTH,LOAD,LOAD,Length (ft),Length (ft),LENGTH,LENGTH,MFG,,
,6482,1226,RW,173069,7,22-Mar,12,12,740,580,48,55,"14'9""",-,23-May,,
,6483,4822,RW,173069,15,22-Mar,48',48',635,520,192,206,57',-,23-May,,
,6484,4822,RW,173069,23 14,22-Mar,48',48',645,515,192,206,"56'2""",-,23-May,,
,6485,4822,RW,173069,14,22-Mar,48',48',650,525,192,206,"57'4""",-,23-May,,
,6486,4828,RW,173069,8,22-Mar,48',48',800,650,192,206,"55'8""",-,23-May,,
,6487,4828,RW,173069,13 23,22-Mar,48',48',800,660,192,206,"55'11""",-,23-May,,
,6488,4828,RW,173069,23,22-Mar,48',48',820,665,192,206,"56'9""",-,23-May,,
,6489,4834,RW,173069,8,22-Mar,48',48',1020,800,192,206,56',-,23-May,,
,6490,3022,RW,173069,7,22-Mar,30',30',665,530,120,129,"34'8""",32',23-May,,
,6491,3022,RW,173069,13,22-Mar,30',30',660,510,120,129,"35'4""","32'5""",23-May,,
,6492,3022,RW,173069,36 9,22-Mar,30',30',660,530,120,129,"35'4""","32'4""",23-May,,
,6493,3028,RW,173069,9,22-Mar,30',30',830,670,120,129,"34'11""","32'5""",23-May,,
,6494,3028,RW,173069,9,22-Mar,30',30',820,660,120,129,35',"32'3""",23-May,,
,6495,3028,RW,173069,7,22-Mar,30',30',850,670,120,129,"34'10""","32'1""",23-May,,
,6496,3028,RW,173069,13,22-Mar,30',30',810,660,120,129,"35'1""","32'3""",23-May,,
,6497,3034,RW,173069,36,22-Mar,30',30',1000,815,120,129,"34'8""",32',23-May,,
,6498,3042,RW,173069,36,22-Mar,30',30',1220,1000,120,129,"34'4""",31'8,23-May,,
,6499,2922,RW,173069,15,22-Mar,29',29',640,530,116,124,34',"31'5""",23-Sep,,
,6500,2928,RW,173069,15,22-Mar,29',29',840,665,116,124,"33'6""","31'2""",23-Sep,,
,6501,2922,RW,173069,14 22,22-Mar,29',29',630,515,116,124,"33'9""","31'4""",23-Jun,,
,6502,2928,RW,173069,14,22-Mar,29',29',810,660,116,124,"33'6""","31'3""",23-Jun,,
,6503,ES 75 lbs,RW,173069,20,22-Mar,31.5,28'8,2150,1870,100',106',"32'7""","31'2""",23-Jun,,
,6504,ES 75 lbs,RW,173069,26,22-Mar,31.5,28'9,2250,1890,100',106',"32'6""","31'2""",23-Jun,,
,6505,ES 75 lbs,RW,173069,27,22-Mar,31.5,29',2150,1860,100',106',"32'11""","31'5""",23-Jun,,
,6506,ES 75 lbs,RW,173069,21,22-Mar,31.5,29',2150,1860,100',106',"32'11""","31'5""",23-Jun,,
,6507,ES 75 lbs,RW,173069,25,22-Mar,31.5,29',2160,1860,100',106',"32'11""","31'5""",23-Jun,,
,6508,ES 75 lbs,RW,173069,35,22-Mar,31.5,29',2175,1880,100',106',33',"31'5""",23-Jun,,
,6509,4832,RW,175466,44,23-Feb,48,48,880,750,192,206,"55'3""",,23-Oct,,
,6510,4828,RW,175466,45,23-Feb,48,48,790,680,192',206',"55'8""",,23-Nov,,
,6511,2428,RW,173069,34,22-Mar,24',24',770,660,96,103,"27'9""",26',23-Jul,,
,6512,2442,RW,173069,19,22-Mar,24',24',1130,980,96,103,"27'5""",26',23-Jul,,
,6513,2454,RW,173069,19,22-Mar,24',24',1490,1310,96,103,"27'4""","25'10""",23-Jul,,
,6514,2454,RW,173069,22,22-Mar,24',24',1520,1330,96,103,"27'5""","25'10""",23-Jul,,
,6515,4822,RW,175466,45,23-Feb,48',48',625,535,192',206',"55'11""",,23-Nov,,
,6516,2030,RW,173069,34,22-Mar,20',20',600,420,57,86,"22'7""","21'6""",23-Aug,,
,6517,2042,RW,173069,34,22-Mar,20',20',800,640,57,86,"22'7""","21'7""",23-Aug,,
,6518,3022,RW,175466,48,23-Feb,30',30',620,520,120,129,"35'1""",,23-Sep,,
,6519,3022,RW,175466,42 44,23-Feb,30',30',645,520,120,129,"34'7""","32'7""",23-Sep,,
,6520,3028,RW,175466,48,23-Feb,30',30',800,680,120,129,"35'3""",,23-Sep,,
,6521,3028,RW,175466,48,23-Feb,30',30',820,680,120,129,35',,23-Sep,,
,6522,3028,RW,175466,42,23-Feb,30',30',810,680,120,129,"34'6""","32'8""",23-Sep,,
,6523,3034,RW,175466,42,23-Feb,30',30',1010,830,120,129,"34'2""","32'6""",23-Sep,,
,6524,1816,RW,175466,37,23-Feb,18',18',445,360,72,80,"21'3""","19'6""",23-Nov,,
,6525,1816,RW,175466,37 44,23-Feb,18',18',445,350,72,80,"21'2""","19'5""",23-Nov,,
,6526,1822,RW,175466,44,23-Feb,18',18',620,510,72,80,"21'1""","19'5""",23-Nov,,
,6527,1822,RW,175466,46 44,23-Feb,18',18',620,520,72,80,"21'2""","19'5""",23-Nov,,
,6528,1828,RW,175466,46,23-Feb,18',18',790,670,72,80,"21'1""","19'4""",23-Nov,,
,6529,1828,RW,175466,46,23-Feb,18',18',790,670,72,80,21',"19'5""",23-Nov,,
,6530,1834,RW,175466,46,23-Feb,18',18',980,800,72,80,"20'11""","19'3""",23-Nov,,
,6531,1834,RW,175466,46,23-Feb,18',18',970,800,72,80,"21'1""","19'4""",23-Nov,,
,6532,2822,RW,175466,37,23-Feb,28',28',620,525,112,118,"32'3""","30'6""",23-Sep,,
,6533,2822,RW,175466,37,23-Feb,28',28',610,520,112,118,"32'1""","30'5""",23-Sep,,
66,6534,2928,RW,175466,41,23-Feb,29',29',830,650,116,124,35',"31'2""",23-Nov,,
2024,6535,2922,RW,175466,41,23-Feb,29',29',690,510,116,124,"34'3""","31'2""",24-Jan,,
,6536,2928,RW,175466,41,23-Feb,29',29',900,640,116,124,"34'6""","31'3""",24-Jan,,
,6537,2822,RW,175466,37,23-Feb,28',28',720,510,112',122',"34'1""","30'8""",24-Feb,,
,6538,2828,RW,175466,40,23-Feb,28',28',880,650,112',122',"34'1""","30'10""",24-Feb,,
,6539,3022,RW,175466,38,23-Feb,30',30',750,510,120,129,"34'8""","32'6""",24-Apr,,
,6540,3022,RW,175466,28 38,23-Feb,30',30',720,520,120,129,"34'11""","32'4""",24-Apr,,
,6541,3028,RW,175466,28,23-Feb,30',30',880,650,120,129,"34'10""","32'6""",24-Apr,,
,6542,3028,RW,175466,28,23-Feb,30',30',880,660,120,129,"35'9""","32'5""",24-Apr,,
,6543,3028,RW,175466,40 28,23-Feb,30',30',860,650,120,129,"34'10""","32'6""",24-Apr,,
,6544,3034,RW,175466,40,23-Feb,30',30',1100,830,120,129,"34'10""","32'3""",24-Apr,,
,6545,4828,RW,175466,29 30,23-Feb,48',48',870,650,192,206,"58'2""",,24-Apr,,
,6546,4834,RW,175466,30,23-Feb,48',48',1060,840,192,206,"58'5""",,24-Apr,,
