Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
5/16/2025,,134,30.0,0,AF,0.0,65524822
5/16/2025,B,144,12.0,,BF,,65524822
5/16/2025,B,157,24.0,-4,AF,0.0,65524822
5/16/2025,,153,21.0,0,AF,1.0,65524822
5/16/2025,,152,20.0,3,AF,0.0,65524822
5/16/2025,,141,12.0,,AF,,65524822
5/16/2025,,160,20.0,-4,AF,0.0,65524822
5/16/2025,,156,20.0,0,AF,0.0,65524822
5/16/2025,,156,21.0,-3,AF,2.0,65524822
5/16/2025,,154,21.0,-3,AF,0.0,65524822
5/16/2025,B,138,33.0,,AF,,65524822
5/16/2025,B/2,131,33.0,3,AF,3.0,65524822
5/24/2025,B,126,6.0,1,AF,,65524822
5/24/2025,,165,18.0,-5,AF,2.0,65524822
5/24/2025,,174,17.0,-3,BF,2.0,65524822
5/24/2025,B,150,6.0,,BF,,65524822
5/24/2025,,138,6.0,,BF,,65524822
5/24/2025,,119,6.0,,BF,,65524822
5/24/2025,B,161,19.0,-2,AF,2.0,65524822
5/24/2025,,147,6.0,,BF,,65524822
5/24/2025,,147,6.0,,AF,,65524822
5/24/2025,,133,6.0,,BF,,65524822
5/24/2025,,116,,,BF,,65524822
5/24/2025,B,162,6.0,,AF,,65524822
5/24/2025,,110,6.0,,BF,,65524822
5/24/2025,B,154,23.0,-6,AF,0.0,65524822
5/24/2025,,127,6.0,,AF,,65524822
5/24/2025,,126,6.0,,AF,,65524822
5/25/2025,F,162,18.0,-3,AF,0.0,65524822
5/25/2025,,145,22.0,0,AF,0.0,65524822
5/25/2025,,136,21.0,,AF,,65524822
5/25/2025,,133,29.0,-2,AF,0.0,65524822
5/25/2025,,133,29.0,-3,AF,0.0,65524822
5/25/2025,B,157,6.0,,AF,,65524822
5/25/2025,B/2,165,14.0,2,AF,0.0,65524822
5/25/2025,B,169,16.0,2,AF,,65524822
5/25/2025,,163,16.0,-1,AF,,65524822
5/25/2025,,139,6.0,,BF,,65524822
5/25/2025,,143,24.0,0,AF,0.0,65524822
5/25/2025,,135,28.0,-2,AF,0.0,65524822
5/25/2025,B,167,18.0,-4,AF,0.0,65524822
5/25/2025,,165,15.0,-3,AF,0.0,65524822
5/25/2025,,152,19.0,-1,AF,1.0,65524822
5/25/2025,,121,6.0,,AF,,65524822
5/25/2025,,130,30.0,2,AF,0.0,65524822
5/25/2025,B,157,20.0,1,AF,0.0,65524822
5/25/2025,,150,21.0,0,AF,0.0,65524822
5/25/2025,,144,25.0,-4,AF,1.0,65524822
5/25/2025,B,137,29.0,6,AF,0.0,65524822
5/25/2025,B,167,16.0,1,AF,0.0,65524822
5/25/2025,,164,16.0,-2,AF,0.0,65524822
5/26/2025,F,155,6.0,A,AF,,65524822
5/26/2025,,135,27.0,2,AF,2.0,65524822
5/26/2025,,120,6.0,,AF,,65524822
5/26/2025,B,136,33.0,-2,AF,0.0,65524822
5/26/2025,,136,36.0,-6,AF,0.0,65524822
5/26/2025,,123,6.0,,AF,,65524822
5/27/2025,B,152,23.0,2,AF,0.0,65524822
5/27/2025,,126,,,BF,,65524822
5/27/2025,B,150,22.0,,AF,,65524822
5/28/2025,F,148,27.0,1,AF,0.0,65524822
5/28/2025,B,147,29.0,0,AF,4.0,65524822
5/28/2025,,132,6.0,,AF,,65524822
5/28/2025,,127,,,AF,,65524822
5/28/2025,,130,35.0,0,BF,0.0,65524822
5/29/2025,F,140,24.0,,BF,,65524822
5/29/2025,,133,24.0,,BF,,65524822
5/30/2025,F,133,24.0,,AF,,65524822
5/30/2025,,137,18.0,,AF,,65524822
5/30/2025,B,142,12.0,,BF,,65524822
5/31/2025,F,151,21.0,,BF,,65524822
5/31/2025,,153,12.0,,AF,,65524822
5/31/2025,,126,36.0,-2,AF,1.0,65524822
5/31/2025,,129,36.0,-3,AF,0.0,65524822
5/31/2025,B,151,12.0,,AF,,65524822
5/31/2025,,141,12.0,,AF,,65524822
5/31/2025,,127,24.0,,AF,,65524822
5/31/2025,,125,24.0,,AF,,65524822
5/31/2025,B,144,12.0,,AF,,65524822
5/31/2025,,143,6.0,,AF,,65524822
5/31/2025,B,148,12.0,,AF,,65524822
5/31/2025,,165,6.0,,AF,,65524822
5/31/2025,,168,14.0,1,AF,,65524822
5/31/2025,,167,6.0,,AF,,65524822
5/31/2025,,155,6.0,,BF,,65524822
5/31/2025,,121,12.0,,BF,,65524822
5/31/2025,,113,15.0,,AF,,65524822
5/31/2025,B,147,29.0,-3,AF,0.0,65524822
5/31/2025,,136,12.0,,AF,,65524822
5/31/2025,B,168,17.0,0,AF,0.0,65524822
5/31/2025,,161,18.0,-2,AF,0.0,65524822
5/31/2025,,156,20.0,0,AF,0.0,65524822
5/31/2025,,142,27.0,1,,0.0,65524822
5/31/2025,,121,36.0,0,AF,0.0,65524822
5/31/2025,,151,21.0,1,AF,0.0,65524822
5/31/2025,,145,25.0,6,AF,0.0,65524822
5/31/2025,,144,25.0,-2,AF,0.0,65524822
5/31/2025,,144,25.0,-1,AF,0.0,65524822
5/31/2025,,141,26.0,0,AF,0.0,65524822
5/31/2025,,133,30.0,3,AF,0.0,65524822
6/1/2025,F,154,12.0,,AF,,65524822
