Date,Brk,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Cord Serial Number
5/16/2025,B,209.0,19.0,-2,BF,5,65934828
5/16/2025,,210.0,6.0,,BF,,65934828
5/16/2025,B,200.0,15.0,-1,AF,0,65934828
5/16/2025,B,203.0,14.0,-1,AF,0,65934828
5/16/2025,B,191.0,18.0,D0,AF,0,65934828
5/16/2025,,168.0,26.0,-2,AF,0,65934828
5/17/2025,F,208.0,12.0,3,AF,2,65934828
5/17/2025,,188.0,18.0,,BF,,65934828
5/17/2025,,184.0,18.0,1,AF,0,65934828
5/17/2025,,181.0,12.0,,AF,,65934828
5/17/2025,,182.0,21.0,-1,AF,0,65934828
5/17/2025,,165.0,21.0,,BF,,65934828
5/17/2025,B,220.0,6.0,2,AF,0,65934828
5/17/2025,,207.0,5.0,,AF,,65934828
5/17/2025,,185.0,19.0,-3,AF,0,65934828
5/17/2025,,162.0,18.0,,AF,,65934828
5/17/2025,,168.0,25.0,-1,AB,0,65934828
5/17/2025,,160.0,18.0,,AF,,65934828
5/17/2025,B,185.0,23.0,-5,AF,0,65934828
5/17/2025,,181.0,15.0,2,AF,0,65934828
5/17/2025,,175.0,15.0,,AF,,65934828
5/17/2025,,173.0,15.0,,AF,,65934828
5/17/2025,B/2,207.0,12.0,D0,AF,0,65934828
5/17/2025,,199.0,12.0,-1,AF,0,65934828
5/17/2025,,197.0,6.0,,AF,,65934828
5/17/2025,,197.0,13.0,W0,AF,0,65934828
5/17/2025,,185.0,18.0,-1,AF,2,65934828
5/17/2025,,179.0,20.0,-3,AF,0,65934828
5/17/2025,,173.0,22.0,-2,AF,0,65934828
5/17/2025,B ,178.0,12.0,,AF,,65934828
5/17/2025,,177.0,20.0,1,AF,0,65934828
5/17/2025,,165.0,25.0,1,AF,0,65934828
5/17/2025,,162.0,31.0,-5,AF,0,65934828
5/17/2025,B ,216.0,10.0,-2,AF,0,65934828
5/17/2025,,210.0,8.0,2,AF,0,65934828
5/17/2025,B/2,168.0,12.0,,AF,0,65934828
5/17/2025,,204.0,10.0,D0,AF,1,65934828
5/17/2025,,180.0,20.0,1,AF,1,65934828
5/17/2025,B ,218.0,5.0,3,AF,0,65934828
5/17/2025,,197.0,14.0,D0,AF,0,65934828
5/17/2025,,190.0,9.0,,BF,,65934828
5/25/2025,,,,,,,65934828
5/25/2025,,184.0,6.0,,AF,,65934828
5/25/2025,,177.0,6.0,,AF,,65934828
5/25/2025,,158.0,6.0,,BF,,65934828
5/25/2025,B,179.0,20.0,-1,AF,0,65934828
5/25/2025,,165.0,22.0,W0,AF,1,65934828
5/25/2025,B,157.0,6.0,,AB,,65934828
5/25/2025,,193.0,15.0,-2,AF,2,65934828
5/25/2025,,191.0,16.0,-1,AF,1,65934828
5/25/2025,,187.0,6.0,,AF,,65934828
5/25/2025,B,199.0,16.0,-5,AF,0,65934828
5/25/2025,,171.0,20.0,2,AF,0,65934828
5/25/2025,B,195.0,16.0,-3,AF,0,65934828
5/25/2025,,183.0,17.0,2,AF,2,65934828
5/25/2025,B,202.0,14.0,-4,AF,0,65934828
5/25/2025,,208.0,9.0,2,AF,0,65934828
5/25/2025,B/2,198.0,14.0,W0,AF,0,65934828
5/25/2025,B,167.0,26.0,-3,AF,0,65934828
5/26/2025,F,202.0,14.0,-1,AF,2,65934828
5/26/2025,,186.0,21.0,-3,AF,4,65934828
5/26/2025,,181.0,21.0,-2,AF,2,65934828
5/26/2025,B,202.0,13.0,1,AF,2,65934828
5/26/2025,,198.0,13.0,-1,AB,1,65934828
5/26/2025,,195.0,15.0,-2,AF,0,65934828
5/26/2025,,186.0,18.0,-3,AF,0,65934828
5/26/2025,,167.0,12.0,,AF,,65934828
5/26/2025,B,182.0,22.0,-2,AF,0,65934828
5/26/2025,,194.0,22.0,,BB,,65934828
5/27/2025,B,205.0,14.0,-2,AF,2,65934828
5/27/2025,,199.0,13.0,-1,AF,0,65934828
5/27/2025,,196.0,15.0,-1,AF,1,65934828
5/27/2025,,188.0,19.0,-4,AF,0,65934828
5/27/2025,,175.0,19.0,2,AF,1,65934828
5/27/2025,,172.0,22.0,W0,AF,0,65934828
5/27/2025,B,196.0,6.0,,BF,,65934828
5/28/2025,F,210.0,13.0,1,AF,0,65934828
5/28/2025,B,219.0,8.0,2,AF,4,65934828
5/28/2025,,179.0,20.0,D0,AF,2,65934828
